M4295 0.1 0 0.1 0 0.4 0.1 0.1 0 0.2 0.2 0.4 0.5 0 0.6 0 0.91 0.2 0 1.72 4.26 1.72 0 0.4 0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.093 0 0.297 0.156 0 6.8 494 1428 
M4296 0 0 0 0 0.44 0.44 0.44 0 0 0 0 0.44 0 0 0 0 0 0 0.88 0 0.44 9.29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19 0 1.017 8.033 72 474 
M4297 0 0.1 0.62 0 0.31 0 0.1 0 0.2 0.62 0.1 0.62 0.41 0 0 0.1 0.1 0.2 3.43 0.1 1.66 0 0.1 1.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0 0 0.611 0.264 0.049 3.794 69 702 
M4298 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.17 0 0 0 0 0.422 0 0.422 0.634 0 4.066 17 61 
M4299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.363 11 26 
M4300 0 0.62 0.62 0 0 0.62 0 2.82 0 0.31 0.31 2.5 0 0 0 2.5 0 0 5.32 0.31 1.56 0 0 0.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.055 0 0.111 0.111 0.055 1.672 6 92 
M4301 0.23 0.29 0.64 0 0.17 0.17 0.11 0.05 0.05 0.47 0.11 1.17 0.47 0.05 0.17 0.05 0.11 0.29 3.93 0 2.05 0 0.47 0.29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.133 0 0.492 0.338 0.092 6.033 87 1460 
M4302 0.51 0.43 0.29 0 0.14 0.03 0 0.18 0.54 0.62 0.29 0.65 0.65 1.2 0.03 0.21 0.43 0.03 2.99 0 1.35 0 0.51 0.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0.012 0.078 0 0.478 0.509 0.127 6.518 611 2340 
M4303 0 0.82 0 0 0 0 0 0 0 1.24 0 0 0 0 0 0 0 0 1.65 0 0 9.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.149 0 0 0.07 0 0.562 7.416 43 356 
M4304 0 0 0 0 0 0 0 0 0 2.77 0 0 0 0 0 0 0 0 2.77 0 5.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.77 0 0 0 0 0 0 0.438 0 0 1.214 3 17 
M4305 0 9.52 0 0 0 0 0 0 0 4.76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.76 0 0 0 0 0 0 0 0 0 1 1 10 
M4306 0 0.27 0 0 0 0 0 0 0 0.27 0 0 0 0 0 0 0 0 1.94 0 0 8.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.23 0 0 0.048 0 0.482 5.802 43 412 
M4307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.63 0 0 0 0 0 0 0 0 0 1 1 12 
M4308 0 0 0.71 0 0 0 0 0 0 0 0 0.71 0.71 0 0 0 0 0 0.71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.121 0 0.243 0 0 1 1 31 
M4309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.04 0 0 9.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.187 0 0 0.141 0 0.425 6.51 43 319 
M4310 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.86 0 0 6.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.43 0 0 0 0 0 0 0 0 0.43 0 0 3.885 0 0 0.073 0 0.439 5.754 43 328 
M4311 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37 0 0 2.24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.37 0 0 3.024 0.059 0 0.059 0 0.237 5.016 43 311 
M4312 0 0 0.22 0 0 0 0 0 0 0 0 0.22 0 0 0 0 0 0 1.11 0 0.22 7.12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22 0 0 0 0 0 0 0 0 0 3.125 0 0 0.24 0 0.28 5.397 43 448 
M4313 0 0 0 0 0 0.42 0 0 0 0 0 0.84 0 0 0 0 0 0 2.1 0 0 6.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.42 0 0 0 0 0 0 0 0 0 4.123 0 0 0.073 0 0.441 6.186 43 266 
M4314 0 0 0 0 0 0 0 0 0 0 0 1.63 0 0 0 0 0 0 6.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.63 0 0 0 0 0 0 0 0 0 1.333 4 20 
M4315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.76 0 0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.95 0 0 0 0 0 0 0 0 0 0 0 0 1.076 3 28 
M4316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.37 0 0.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.116 0 1.419 5 44 
M4317 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 9 
M4318 0 0 3.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.7 0 0 0 0 0 0 0 0 0 1 1 9 
M4319 0 0 0 0 0 0 0 0 0 0 0 0.76 0 0 0 0 0 0.76 1.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.133 0 0.266 0 0 1 1 23 
M4320 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.19 0 4.87 0 0 9.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 7 
M4321 0 0 0 0 0 0 0 0 0 0 0 3.33 0 0 0 0 0 0 3.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.33 0 3.33 0 0 0 0 0 0 0 0 0 1.142 3 16 
M4322 0 0 0 0 0 0 0 0 0 0 0.24 0.72 0.24 0 0 0 0.24 0 0.72 0.24 2.16 0 0.48 0 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0.447 0 0.122 0.285 0 3.714 19 286 
M4323 0 0 0.91 0 0.3 0 0 0 0 0 0 0.3 0.3 0 0 0 0 0 1.21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3 0.3 0 0 0 0 0 0 0 0 1.505 14 128 
M4324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.38 0 0 0 0 0 0 0 0 1.38 0 0 0 0 0 0.208 0 0 2.655 15 77 
M4325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 10 
M4326 0 1.25 0 0 0 0 0 0 0 0 0 2.81 0 0 0 0 0 1.56 0.93 0 0.31 0 0 0 0 0 0 0 0 0 0 0.31 0 0 0 0.31 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164 0 0.109 0.054 0 2.193 18 136 
M4327 0 0.22 0 0 0.22 0 0 0 0 0 0 1.36 0 0 0 0 0 1.59 0.91 0 0 0 0 0 0 0 0 0 0.22 0 0 0 0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.326 0 0.285 0 0 2.043 31 141 
M4328 0.51 0 0.51 0 1.53 0 0 0 0 0.51 0 0.51 0 0 0 0 0 0 1.02 0 0 0 0.51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.51 0.51 0 0 0.079 0 0 0 0 1.442 8 75 
M4329 0 0 0.34 0 0.34 0 0 0 0 0 0 1.37 1.37 0 0 0 0 0.34 2.74 0 1.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0.232 0 0.406 0 0 1.425 6 77 
M4330 0.74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.377 0 0 1 1 33 
M4331 0 0 0 0 0 0 0 0 0 1.28 0 0 0 0 0 0 0 0 2.56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.28 0 0 0 0 0 0 0 0 0 0 0 0 0.232 0 0 1.296 8 35 
M4332 0 0 2.12 0 1.06 0 0 0 0 0 0 2.12 0 0 0 0 0 0 5.31 0 1.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.06 0 0 2.12 0 0 0 0 0 0 0 0 0 0 0 0 1.238 4 26 
M4333 0.26 0 0.26 0 0.52 0 0 0 0 0.26 0 0.26 0 0 0 0.26 0 0 1.31 0 0.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.038 0 0.038 1.541 12 202 
M4334 0 0 0 0 0 0 0 0 0 0 0 0.69 0 0 0 0.69 0 0 2.79 0 0.69 0 0 0 2.09 0 0 0 0 1.39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.69 1.39 0 0 0 0.221 0 0 0 0 2.184 12 83 
M4335 0 0 0 0 0.54 0 0 0 0 0 0.54 1.09 0 0 0 0 0 0 3.82 0 0 0 0 0 2.18 2.18 0 0.54 0 1.09 0 0 0 0 0.54 0 0 0 0 0 0 0 0.54 0 0.54 0 0 0 0 0.087 0 0 0 0 3.533 34 159 
M4336 0 0 0 0 0 0 0 0 0 1.25 0 1.25 0 0 0 0 0 0 2.5 0 1.25 0 0 0 1.25 1.25 0 0 0 0 0 0 0 0 0 0 0 0 1.25 0 0 0 0 0 1.25 1.25 0 0 0 0 0 0 0.204 0 2.45 15 49 
M4337 0 0 0.55 0 0 0 0 0 0.55 0 0 0 0.55 0 0 0.55 0 0.55 0 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.093 0 0.563 0 0 2.928 55 82 
M4338 0 0 0 0 0 0 0 0 0 0 0 0 0.54 0 0 0.54 0.54 0 1.63 0 0.54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.54 0 0.54 0 0 0 0 0 0.407 0 0 2.038 14 53 
M4339 0 0 2.27 0 0 0 0 0 0 0 0 2.27 0 0 0 1.13 0 1.13 2.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.13 0 0 0 0.143 0 0 0 0 8.761 77 184 
M4340 0 0 0 0 0 0 0 0 0 0 0 0.92 0 0 0 0 0 0.92 3.7 0 0.92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.92 1.85 0 0 0 0.295 0 0 0 0 2.535 12 71 
M4341 0 0 0 0 0 0 0 0 0 0 0 0.99 0 0 0 0 0 0 5.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.99 0 0 0 0.191 0 0 0.766 0 0 1 1 18 
M4342 0.12 0 0.12 0 0 0 0 0 0 0 0.12 0.38 0 0 0 0 0.12 0 1.78 0 0.51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.12 0 0 0 0 0.25 0 0 0.12 0.63 0 0 0.018 0.074 0 0.055 0 0.018 3.08 63 419 
M4343 0.11 0 0.33 0 0 0 0 0 0 0.11 0 0.45 0 0 0 0.11 0.11 0 2.81 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11 0 0 0 0 0.22 0 0 0.33 0.56 0 0 0.017 0.136 0 0.051 0 0.017 2.944 63 427 
M4344 0 0.6 0 0 0.6 0 0 0 0 2.43 0 0.6 0 0 0 0 0 0 1.82 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.21 0 0 0 1.82 0 0 0 0.271 0 0 0 0.09 6.09 71 201 
M4345 0 0.6 0 0 0.6 0 0 0 0 2.43 0 0.6 0 0 0 0 0 0 1.82 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.21 0 0 0 1.82 0 0 0 0.271 0 0 0 0.09 6.09 71 201 
M4346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.63 5.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.625 3 13 
M4347 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.28 0 7.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.14 0 0 0 0 0 0 0 0 0 1 1 3 
M4348 0 0 0 0 0 0 0 0 0 0.33 0 0 0 0 0 0 0 0 2.34 0 0.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.33 0.33 0 0 0 0.06 0 0.302 0 0 1.562 14 100 
M4349 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.2 0 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.1 0 0 0 0 0 0 0.633 0 0 1.386 11 61 
M4350 0 0 0 0 0 0.77 0 0 0 0 0 0 0 0 0 0 0 0 7.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.156 0 0.312 0 0 1.08 2 27 
M4351 0 0 0.26 0 0.52 0 0 0 0 0 0 0 0 0 0 0 0 0.52 1.56 0 1.56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.52 0 0 0 0.26 0 0 0 0 0.26 0 0 0 0.753 0.113 0 0.037 0.037 0 1.797 20 169 
M4352 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 
M4353 0 0.34 0 0 0.68 0 0.68 0 0 0.34 0.34 0 0 0 0 0.34 0 1.36 3.42 0 2.73 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0 0 0 0 0 0 0 0 0 0.34 0 0 0 0 0 0.048 0.048 0 1.405 15 97 
M4354 0 0 0.59 0 0.29 0.59 0.59 0.29 0 0.29 0.29 0 0 0 0 0 0 0.89 3.58 0 1.49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.29 0.29 0 0 0.088 0 0 0.044 0.132 0 1.592 15 121 
M4355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.66 0 0 0 0.675 0 0 0 0 1 1 4 
M4356 0.06 0 0.32 0 0 0 0 0 0 0.06 0 0.06 0.06 0 0 0 0 0.06 2.79 0 1.1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0 0 0.06 0.19 0 0 0.317 0.035 0 0.093 0 0 1.11 9 261 
M4357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.69 7.69 0 0 0 0.775 0 0 0 0 1 1 5 
M4358 0 0 0.6 0 0 0 0 0 0 0 0 0.43 0.08 0 0 0 0 0 3.02 0 1.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0 0.51 0 0 0 0 0.083 0 0.099 0 0 1.329 18 214 
M4359 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.56 0 0 0 0 0 0 0 0 7.69 0 0 0 0.395 0 0 0 0 3 18 39 
M4360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.88 0 0 0 0 0 0 0 0 1 1 7 
M4361 0 1.57 1.18 0 0 0 0 0 0 2.36 0 0.78 0 0 0 0 0 0 0.39 0 0 6.29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.151 0.203 0 0.271 0 0.067 5.689 30 330 
M4362 0 0 0 0 0 1.42 0 0 0 0 0 0 0 0 0 0 0 0 7.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.42 0 0 0 0 0.267 0 0 0 0 1 1 17 
M4363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 
M4364 0 0 1.21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.82 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.21 0 0 0 0 0.371 0 0 0 0 1.967 13 61 
M4365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21.42 0 0 0 0 0 0 0 0 0 1.125 2 9 
M4366 0 2.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.47 0 1.73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.154 0 0.773 0 0 1 1 17 
M4367 0 0 0.21 0 0 0.21 0 0 0 0 0 0 0 0 0 0 0 0 1.95 0 0.21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.131 0.175 0 0 0 0 1 1 68 
M4368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 
M4369 0 0 1.01 0 0 0 0 0 0 0 0 3.03 0 0 0 0 0 0 5.05 0 2.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.187 0 0 1.166 3 21 
M4370 0 0 0.81 0 0 0 0 0 0 0 0 3.25 0 0 0 0 0 0 4.06 0 1.62 0 0 0 0.81 0 0 0 0 0.81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.81 0 0 0 0 0 0 0.134 0 0 1.366 5 41 
M4371 0 0 1.81 0 0 0 0 0 0 0 0 0.9 0.9 0 0 0 0 0 4.54 0 2.72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.164 0 0 1.391 8 32 
M4372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.71 0 1.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.85 0 0 0 0 0 0 0 0 0 2.125 5 17 
M4373 1.39 0 2.09 0 0 0 0 0 0 0 0 6.29 0 0 0 0.69 0 0 4.19 0.69 0.69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.69 0 0 0 0 0 0 0 0 0 0 0 0 0.254 0 0 2 13 64 
M4374 0.97 0 0 0 0.48 0 0 0 0 0 0 0 0 0 0 0.48 0 0 2.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.48 0 0 0.48 0.97 0 0 0 0.15 0 0 0 0.075 3.367 21 165 
M4375 0.15 0 0.63 0 0.07 0.11 0 0 0 0.03 0 0.07 0.37 0 0 0 0.03 0.03 1.16 0 0.22 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0.03 0 0 0.22 0.03 0 0 0.014 0.05 0 0.014 0 0 1.111 7 389 
M4376 0 0 0 0 0 0 0 0 0 0 0 3.03 0 0 0 0 0 0 3.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.473 0 0 1.687 5 27 
M4377 0 0 0 0 0 0 0 0 0 0 0 3.44 0 0 0 0 0 0 3.44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 5 26 
M4378 0 0 2.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.214 4 17 
M4379 4.34 0 0 0 0 0 0 0 0 0 0 4.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.75 4 14 
M4380 0 0 4.54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.645 0 0 0 0 1 1 7 
M4381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.02 0 0 0 0.344 0 0.344 0.172 0 2.166 11 39 
M4382 0 0 1.66 0 0 0 0 0 0 0 0 1.66 0 0 0 0 0 0.83 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.151 0 0 1.518 8 41 
M4383 0 1.08 0 0 0 0 0 0 0 0 0 1.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.181 0 0 0 0 1.612 11 50 
M4384 0 0 0 0 0 0 0 0 0 0 0 1.61 0 0 0 0 0 0 0 0 1.61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.61 0 0 0 0 0 0 0 0 0 0 0 0 0.266 0 0.533 0 0 4.5 31 63 
M4385 0 0 0 0 0 0 0 0 0 0.38 0 0 0 0 0 0.19 0 0.19 0 0 0 0 0 0.38 0 0 0 0 0 0 0 0 0 0 0 0 0.58 0 0 0 0 0 0 0 0 22.05 0 0 0.135 0.339 0.067 0 0 0 4.13 81 285 
M4386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.17 0 3.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.58 1.58 0 0 0 0 0 0 0 0 1 1 12 
M4387 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.934 0 0 0 0 3 9 18 
M4388 0 0.36 0.36 0 0 0.36 0 0.73 0 0.36 0.36 1.46 0 0 0 0.36 0 2.56 2.93 0 0.36 0 0 0.73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.36 0 0 0 0 0 0 0 0 0 0.123 0 2.854 68 157 
M4389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.68 0 0 0 0 0.112 0 0 0.903 0 2.285 14 80 
M4390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.33 0 0 0 0 0 0 0 0 0 1 1 4 
M4391 0 0 1.72 0 0 0 0 0 0 0 0 2.58 0 0 0 0 0 0 2.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.86 0 0.86 2.58 0 0 0.86 0 0 0 0 0.303 0 0.91 0 0 2.171 9 76 
M4392 0 0 0 0 0 0 0 0 0 0 0 1.78 0 0 0 0 0 0 3.57 0 1.78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.78 0 0 1.78 0 0 0 0 0 0 1.194 0 0 2.23 8 29 
M4393 0 0 0 0.31 0.94 0 0 0.31 0 0.63 0 1.26 0 0 0 0 0 0 0.94 0 1.26 0 0 0 0 0 0 0.63 0 0 0 0 0 0 0 0.31 0 0 0 0 0 0 0 0 0 0 0 0 0 0.037 0 0.074 0 0 3.904 39 246 
M4394 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.571 0 0 1 1 4 
M4395 0 0 0 0 0 0 0 0 0 0.79 0 0.79 0 0 0 0 0 0.79 1.58 0 2.38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.79 0 0 0 0 0 0 0 1.58 0 0 0 0.135 0.405 0 0.27 0 0 1.608 13 37 
M4396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.225 0 0 1 1 4 
M4397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.32 0 0 0 0 0 0 0.763 0 2.181 6 24 
M4398 0 0.15 0.3 0 0.15 0 0 0 0 0 0 1.38 0.15 0 0 0 0.15 0 2.6 0 1.68 0 0.15 0 0 0 0 0 0 0 0 0 0.46 0 0 0 0.3 0 0 0 0 0 0 0 0.61 2.91 0 0 0.023 0.093 0 0.069 0 0 2.05 23 326 
